workoutName,date,exerciseName,description,plannedSetsRepsDuration,plannedWeight,order
C Day - Strength Foundation,6/27/2025,Band external rotation,Warm-up rotator cuff prepare for pressing. Control both directions,2 x 12 each arm,Light band,3
C Day - Strength Foundation,6/27/2025,Landmine press,Stand and press landmine overhead. Focus bilateral scapular stability,3 x 8-10,Light to moderate weight,4
C Day - Strength Foundation,6/27/2025,Landmine side lunge,From PT session progress weight as able. Focus left leg strength,3 x 10-12 each side,Moderate weight,5
C Day - Strength Foundation,6/27/2025,Bent-over barbell rows,Light weight focus scapular mechanics. Prepare for heavier bilateral loading,3 x 10-12,Light barbell weight,6
C Day - Strength Foundation,6/27/2025,Split squats,Rear foot elevated focus front leg. Emphasize left leg strength and control,3 x 8-10 each leg,Bodyweight to light weight,7
C Day - Strength Foundation,6/27/2025,Single-arm farmer's carry,Heavy single-arm carries alternate between sets. Progress load maintain mechanics,3 x 45-60 sec each arm,45lb+ dumbbell,8
C Day - Strength Foundation,6/27/2025,Prone Y-T-W raises,Light weight focus bilateral quality. Progress from bodyweight version,3 x 10-12 each position,Light weight,9
C Day - Strength Foundation,6/27/2025,Hip abduction side-lying,Lift top leg against gravity add ankle weight if available. Focus left side strength,2 x 12-15 each side,Bodyweight to light weight,10
C Day - Strength Foundation,6/27/2025,Couch stretch,Maintain hip flexor length shorter duration. Cool-down mobility,45 sec each side,Bodyweight,11
C Day - Strength Foundation,6/27/2025,Figure-4 stretch,Maintain hip external rotation mobility. Cool-down position,60 sec each side,Bodyweight,12
